ticker,date,gap_pct,bars,session_open,session_close,first_hour_high,first_hour_low,first_hour_close,first_hour_return,first_hour_close_location,first_hour_max_close_drawdown,first_hour_directional_efficiency,pre_afternoon_high,pre_afternoon_high_minute,post_first_new_high,post_first_new_high_minute,afternoon_new_high,afternoon_new_high_minute,close_above_first_hour_high,close_above_pre_afternoon_high,close_within_2pct_of_hod,pullback_before_afternoon_hod,constructive_pullback_before_afternoon_hod,pre_hod_pullback_depth,reclaim_signal,reclaim_signal_minute,reclaim_signal_price,reclaim_new_hod_after,reclaim_to_close_return,reclaim_mfe,reclaim_mae,runner_loose,runner_primary,runner_strict
NBIS,2025-05-12,0.14326140785284758,390,32.32,33.34,33.4299,31.13,32.63,0.009591584158415989,0.6522022696638987,0.049250730994152114,0.03451577705034867,33.73,87,True,86.0,False,,False,False,True,False,False,,True,217.0,33.16,False,0.005428226779252254,0.011459589867309994,-0.008745476477683978,False,False,False
COIN,2025-05-13,0.1181835730141878,390,231.71,256.9073,242.7399,231.49,240.72,0.038884812912692635,0.8204517373487757,0.012059676750932558,0.19538789158899508,255.67,194,True,97.0,True,292.0,True,True,True,True,True,0.016114522626823558,True,239.0,253.84,True,0.012083595965962868,0.025921840529467444,-0.0068543176804286565,True,True,False
SMCI,2025-05-14,0.18089483157624067,390,45.925,44.9901,46.57,43.08,44.5749,-0.02939793140990743,0.4283381088825216,0.0667959491488902,0.0,46.57,3,False,,False,,False,False,False,False,False,,True,210.0,45.495,False,-0.01109792284866462,0.00846246840312137,-0.024618089899988926,False,False,False
APLD,2025-06-02,0.21083455344070282,390,8.27,10.1,9.97,8.03,9.73,0.17654171704957689,0.8762886597938144,0.13228155339805825,0.24388614192168917,10.54,143,True,90.0,False,,True,False,False,False,False,,True,221.0,10.23,False,-0.01270772238514184,0.030303030303030276,-0.013685239491691203,False,False,False
CRDO,2025-06-03,0.1963288108539505,390,74.95,71.81,80.99,73.92,77.81,0.0381587725150101,0.5502121640735508,0.05259222333001001,0.09768760460429696,80.99,1,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
USAR,2025-07-10,0.18896833503575095,387,11.64,10.98,11.6999,10.81,11.0469,-0.05095360824742268,0.2662096864816278,0.06786941580756023,0.0,11.6999,0,False,,False,,False,False,False,False,False,,True,210.0,11.5,False,-0.045217391304347765,0.018260869565217552,-0.047826086956521796,False,False,False
NBIS,2025-07-14,0.10451467268623027,390,48.93,51.94,51.4,48.8,49.9227,0.020288166768853477,0.4318076923076928,0.037670896036195556,0.07425553718760987,51.4,1,True,214.0,True,214.0,True,True,True,True,False,0.05058365758754868,True,210.0,50.9296,True,0.01983915051365015,0.025140586220979477,-0.0004025164148157012,False,False,False
EOSE,2025-07-18,0.12264150943396235,390,5.95,5.87,6.5,5.88,6.03,0.013445378151260456,0.24193548387096828,0.07784805184664634,0.030776332999923096,6.5,2,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
NVTS,2025-07-21,0.10162002945508108,390,7.48,8.46,9.25,7.3913,9.2108,0.23139037433155085,0.978909990853823,0.0357508601148353,0.442705136075302,9.48,70,True,62.0,False,,False,False,False,False,False,,False,,,False,,,,True,False,False
AMKR,2025-07-29,0.15496938294865759,390,24.52,25.089,26.31,24.375,26.03,0.06158238172920072,0.8552971576227402,0.023371647509578652,0.23501945525291928,26.31,35,False,,False,,False,False,False,False,False,,False,,,False,,,,True,True,False
