ticker,timestamp,open,high,low,close,volume,vwap,transactions,otc,rsi,atr
TSLA,2021-01-29 03:52:00 UTC,274.55,280.8033,260.0333,262.6333,102891972,268.424,1307929,,47.07224287152573,16.661783667785777
TSLA,2023-07-03 03:52:00 UTC,274.68,284.25,264.1,278.88,118204908,279.4506,1426584,,52.985792330670606,17.015706262943937
TSLA,2022-09-07 03:52:00 UTC,274.75,283.95,272.2129,283.45,47811302,279.7432,714224,,54.52491757002408,16.63866295844794
TSLA,2023-09-18 03:52:00 UTC,275.09,276.18,263.7601,265.02,99792138,266.8556,1252955,,47.737585378702114,16.856608461415945
TSLA,2025-03-06 03:52:00 UTC,275.24,280.32,260.02,261.2,94184465,265.6184,1504360,,46.4470065738446,17.102564999886233
TSLA,2022-09-26 03:52:00 UTC,275.33,284.09,269.8,276.4001,56538276,278.2847,901645,,52.00694798020508,17.515953214180072
TSLA,2025-05-06 03:52:00 UTC,275.5,279.89,271.35,278.82,73213534,274.4944,1007273,,52.84628814621863,16.874813698881493
TSLA,2022-03-07 03:52:00 UTC,276.0,288.7133,264.4067,266.6633,69788304,277.3854,692933,,48.27839991673779,17.405655577532816
TSLA,2022-09-06 03:52:00 UTC,276.14,276.14,265.74,273.81,54535449,272.0678,850110,,50.961944160904096,16.90525160770904
TSLA,2022-02-22 03:52:00 UTC,276.5133,285.5779,267.0334,277.0,79698114,274.6005,916261,,52.1552209038833,17.02234077858697
TSLA,2022-03-04 03:52:00 UTC,277.0667,285.2167,275.0536,281.3333,64985589,279.9095,591510,,53.79983576027365,16.532395008687896
TSLA,2023-09-15 03:52:00 UTC,277.45,278.98,271.0,273.1,122771649,274.3191,1263475,,50.264498305958725,16.089602508067333
TSLA,2024-11-06 03:52:00 UTC,277.9,289.99,266.0,286.74,156590834,284.8947,2644906,,55.483592629894055,16.653916614633953
TSLA,2023-07-14 03:52:00 UTC,278.06,285.3,276.07,281.76,118621611,280.6891,1266579,,53.285055906315414,16.226493999302956
TSLA,2023-07-05 03:52:00 UTC,278.45,283.85,276.11,283.16,128791212,280.5239,1349061,,53.838825840914446,15.620315856495601
TSLA,2025-05-07 03:52:00 UTC,278.56,279.9,271.0,276.1492,68246726,274.7311,952386,,50.60377800175914,15.37315043817449
